00後	línglínghòu
衣錦	衣jǐn
衣錦	衣jǐn
衣錦還鄉	衣jǐnhuánxiāng
衣領	yīlǐng
衣食無缺	yī shí wú quē
衣食	yīshí
衣魚	yīyú
衤	yī
衧	yú
表兄	biǎoxiōng
表叔	biǎo叔
表哥	biǎogē
表報	biǎobào
表奏	biǎozòu
表妹	biǎomèi
表姊	biǎozǐ
表姐	biǎojiě
表子	biǎozi
表字	biǎozì
表弟	biǎodì
表彰	biǎozhāng
表情包	biǎoqíngbāo
表情	biǎoqíng
表情	biǎoqíng
表意文字	biǎoyì wénzì
表意	biǎoyì
表意	biǎoyì
表態	biǎotài
表揚	biǎoyáng
表文	biǎowén
表日本	Biǎorìběn
表明	biǎomíng
表格	biǎogé
表決	biǎojué
表演藝術	biǎoyǎn yìshù
表演	biǎoyǎn
表演	biǎoyǎn
表率	biǎoshuài
表現主義	biǎoxiànzhǔyì
表現出	biǎoxiànchū
表現力	biǎoxiànlì
表現	biǎoxiàn
表現	biǎoxiàn
表白	biǎobái
表皮	biǎopí
表示	biǎoshì
表示	biǎoshì
表章	biǎozhāng
表義文字	biǎoyì wénzì
表義	biǎoyì
表薦	biǎojiàn
表裡一致	biǎolǐ 一zhì
表裡	biǎolǐ
表親	biǎoqīn
表語	biǎoyǔ
表象	biǎoxiàng
表述	biǎoshù
表達式	biǎodáshì
表達	biǎodá
表露	biǎolù
表面化	biǎomiànhuà
表面張力	biǎomiàn zhānglì
表面積	biǎomiànjī
表面	biǎomiàn
表題	biǎotí
衩	chǎ,chà
衫架	shānjià
衫	shān
衫袖	shānxiù
衰亡	shuāiwáng
衰弱	shuāiruò
衰弱	shuāiruò
衰微	shuāi微
衰微	shuāi微
衰敗	shuāibài
衰神	shuāishén,suīshén
衰竭	shuāijié
衰竭	shuāijié
衰老	shuāilǎo
衰老	shuāilǎo
衰老	shuāilǎo
衰落	shuāiluò
衰	cuī
衰	shuāi
衰變	shuāibiàn
衰退	shuāituì
衰退	shuāituì
衲	nà
衴	dǎn
衷心	zhōngxīn
衷情	zhōngqíng
衷腸	zhōngcháng
衷	zhōng
衽	rèn
衾	qīn
袀	jūn
袁家沙	Yuánjiāshā
袁	yuán
袈	jiā
袈裟	jiāshā
袋井	Dàijǐng
袋子	dàizi
袋熊	dàixióng
袋狸	dàilí
袋狼	dàiláng
袋獾	dàihuān
袋	dài
袋鼠國	Dàishǔguó
袋鼠夾克	dàishǔ 夹kè
袋鼠	dàishǔ
袋鼬	dàiyòu
袍子	páozi
袍澤	páozé
袍	páo
袍袖	páoxiù
袍鎧	páokǎi
袒	tǎn
袒護	tǎnhù
袒露	tǎnlù
袓	jiē
袓	jù
袖口	xiùkǒu
袖套	xiùtào
袖子	xiùzi
袖手旁觀	xiùshǒu pángguān
袖手	xiùshǒu
袖扣	xiùkòu
袖標	xiùbiāo
袖浦	Xiùpǔ
袖珍	xiùzhēn
袖章	xiùzhāng
袖	xiù
袚	bō,fú,feì
袛	dī
袞	gǔn
袣	yì
袤	mào
袦	nà
被乘數	bèichéngshù
被加數	bèijiāshù
被動	bèidòng
被動	bèidòng
被告席	bèigàoxí
被告	bèigào
被告	bèigào
被單	bèidān
被套	bèitào
被套	bèitào
被子植物	bèizǐzhíwù
被子	bèizi
被害人	bèihàirén
被害妄想症	bèihài wàngxiǎngzhèng
被害者	bèihàizhě
被害	bèihài
被捕	bèibǔ
被收養人	bèishōuyǎngrén
被減數	bèijiǎnshù
被爆者	bèibàozhě
被牆	bèiqiáng
被罪	bèizuì
被胎	bèitāi
被自殺	bèizìshā
被自殺	bèizìshā
被虐狂	bèinüèkuáng
被虐	bèinüè
被	bèi
被	bèi
被	bì
被	pì
被	pī
被褥	bèirù
被迫	bèipò
被逮	bèidǎi
被除數	bèichúshù
袱	fú
袷袢	qiāpàn
袼	gē
裁判員	cáipànyuán
裁判官	cáipànguān
裁判	cáipàn
裁判	cáipàn
裁剪	cáijiǎn
裁員	cáiyuán
裁奪	cáiduó
裁定	cáidìng
裁定	cáidìng
裁度	cáiduó
裁斷	cáiduàn
裁決	cáijué
裁決	cáijué
裁減	cáijiǎn
裁縫師	cáiféngshī
裁縫	cáifeng
裁縫	cáiféng
裁處	cáichǔ
裁	cái
裁軍	cáijūn
裁軍	cáijūn
裁量	cáiliáng
裂口	lièkǒu
裂痕	lièhén
裂紋	lièwén
裂縫	lièfèng
裂	liè,liě
裂變	lièbiàn
裂開	lièkāi
裉	kèn
裊	niǎo
裊裊	niǎoniǎo
裒	póu
裔	yì
裕固族	yùgùzú
裕固	yùgù
裕廊東	Yùlángdōng
裕廊西	Yùlángxī
裕	yù
裘	qiú
裙子	qúnzi
裙帶菜	qúndàicài
裙帶	qúndài
裙帶關係	qúndài guānxì
裙	qún
裙褲	qúnkù
補丁	bǔding
補修	bǔxiū
補償	bǔcháng
補充劑	bǔchōngjì
補充	bǔchōng
補充	bǔchōng
補助	bǔzhù
補助	bǔzhù
補助詞	bǔzhùcí
補助金	bǔzhùjīn
補品	bǔpǐn
補強	bǔqiáng
補救	bǔjiù
補救	bǔjiù
補數	bǔshù
補正	bǔzhèng
補正	bǔzhèng
補牙	bǔyá
補牙	bǔyá
補發	bǔfā
補白	bǔbái
補益藥	bǔyìyào
補益	bǔyì
補益	bǔyì
補票處	bǔpiàochù
補票	bǔpiào
補給	bǔjǐ
補給	bǔjǐ
補缺	bǔquē
補習班	bǔxíbān
補習社	bǔxíshè
補習	bǔxí
補考	bǔkǎo
補薪	bǔxīn
補藥	bǔyào
補血	bǔ血
補	bǔ
補角	bǔjiǎo
補語	bǔyǔ
補課	bǔkè
補貼	bǔtiē
補貼	bǔtiē
補足	bǔzú
補過	bǔguò
補選	bǔxuǎn
補選	bǔxuǎn
補遺	bǔyí
補養	bǔyǎng
補骨脂	bǔgǔzhī
補體	bǔtǐ
裝B	zhuāngbī
裝作	zhuāngzuò
裝修	zhuāngxiū
裝假	zhuāngjiǎ
裝備	zhuāngbèi
裝備	zhuāngbèi
裝傻	zhuāngshǎ
裝卸	zhuāngxiè
裝屄	zhuāngbī
裝幀	zhuāng幀
裝扮	zhuāngbàn
裝扮	zhuāngbàn
裝束	zhuāngshù
裝束	zhuāngshù
裝滿	zhuāngmǎn
裝潢	zhuānghuáng
裝潢	zhuānghuáng
裝甲	zhuāngjiǎ
裝甲	zhuāngjiǎ
裝甲車	zhuāngjiǎchē
裝病	zhuāngbìng
裝瘋賣傻	zhuāngfēngmàishǎ
裝相	zhuāngxiàng
裝置	zhuāngzhì
裝置	zhuāngzhì
裝蒜	zhuāngsuàn
裝	zhuāng
裝裱	zhuāngbiǎo
裝訂	zhuāngdìng
裝設	zhuāngshè
裝貨	zhuānghuò
裝車	zhuāngchē
裝載	zhuāngzài
裝逼	zhuāngbī
裝配廠	zhuāngpèichǎng
裝配線	zhuāngpèixiàn
裝配	zhuāngpèi
裝門面	zhuāng ménmiàn
裝飾品	zhuāngshìpǐn
裝飾帶	zhuāngshìdài
裝飾派藝術	zhuāngshìpài yìshù
裝飾藝術	zhuāngshì yìshù
裝飾	zhuāngshì
裝飾	zhuāngshì
裝點	zhuāngdiǎn
裟	shā
裡外不是人	lǐ wài 不shì rén
裡屋	lǐwū
裡應外合	lǐyìngwàihé
裡日本	Lǐrìběn
裡海虎	lǐhǎihǔ
裡海	Lǐ Hǎi
裡邊	lǐbian,lǐbiān
裡	lǐ
裡間	lǐjiān
裡面	lǐmiàn
裡頭	lǐtou
裡頭	lǐtou
裡頭	lǐtou
裨將	píjiàng
裨益	bìyì
裨益	bìyì
裨	bì
裱	biǎo
裱褙	biǎobèi
裳	cháng,shang
裴	péi
裸奔者	luǒbēnzhě
裸奔	luǒbēn
裸婚	luǒhūn
裸子植物	luǒzǐzhíwù
裸官	luǒguān
裸戲	luǒxì
裸泳	luǒyǒng
裸眼	luǒyǎn
裸睡	luǒshuì
裸考	luǒkǎo
裸裎	luǒchéng
裸	luǒ
裸貸	luǒdài
裸露	luǒlù
裸頸鸛	luǒjǐngguàn
裸體主義	luǒtǐzhǔyì
裸體	luǒtǐ
裸體	luǒtǐ
裸體	luǒtǐ
裸麥	luǒmài
裹屍	guǒshī
裹屍	guǒshī
裹腳	guǒjiǎo
裹腳	guǒjiǎo
裹	guǒ
裹足	guǒzú
裹頭	guǒtóu
裼	tì,xí
製作人	zhìzuòrén
製作	zhìzuò
製作	zhìzuò
製作者	zhìzuòzhě
製冷	zhìlěng
製冷劑	zhìlěngjì
製	zhì
製劑	zhìjì
製品	zhìpǐn
製圖	zhìtú
製圖學	zhìtúxué
製成	zhìchéng
製法	zhìfǎ
製片人	zhìpiànrén,zhìpiānrén
製片	zhìpiàn,zhìpiān
製片廠	zhìpiànchǎng,zhìpiānchǎng
製版	zhìbǎn
製琴	zhìqín
製糖	zhìtáng
製藥	zhìyào
製藥學	zhìyàoxué
製藥廠	zhìyàochǎng
製裁	zhìcái
製裁	zhìcái
製造	zhìzào
製造商	zhìzàoshāng
製造廠	zhìzàochǎng
製造業	zhìzàoyè
製造者	zhìzàozhě
裾	jū
裾野	Jūyě
褂子	guàzi
褂	guà
複元音	fùyuányīn
複分解反應	fùfēnjiě fǎnyìng
複分解	fùfēnjiě
複利	fùlì
複印件	fùyìnjiàn
複印	fùyìn
複印機	fùyìnjī
複句	fùjù
複合	fùhé
複合	fùhé
複合詞	fùhécí
複	fù
複姓	fùxìng
複寫	fùxiě
複寫機	fùxiějī
複寫紙	fùxiězhǐ
複式	fùshì
複數	fùshù
複本	fùběn
複查	fùchá
複核	fùhé
複眼	fùyǎn
複習	fùxí
複葉	fùyè
複製品	fùzhìpǐn
複製	fùzhì
複診	fùzhěn
複試	fùshì
複讀機	fùdújī
複賽	fùsài
複賽	fùsài
複輔音	fùfǔyīn
複述	fùshù
複選	fùxuǎn
複雜化	fùzáhuà
複雜	fùzá,fǔzá
複雜性	fùzáxìng
褊	pián,biǎn
褋	dié
褌	kūn
褎	yòu
褐煤	褐méi
褐色	褐sè
褐	褐
褐雲瑪瑙螺	褐yún mǎnǎoluó
褒揚	bāoyáng
褒獎	bāojiǎng
褒稱	bāochēng
褒義	bāoyì
褒義詞	bāoyìcí
褒	bāo
褒貶	bāobiǎn
褓	bǎo
褔	fù
褗	yǎn
褘	yī
褙	bèi
褚	chǔ
褞	yǔn
褟	tā
褡	dā
褡褳	dālian,dālián
褥子	rùzi
褥瘡	rùchuāng
褥	rù
褧	jiǒng
褪毛	tuìmáo
褪色	tuìshǎi,tuìsè,tùnsè
褪	tuì,tùn
褪	tùn
褪黑素	tuìhēisù
褫	chǐ
褰	qiān
褱	huái
褲子	kùzi
褲管	kùguǎn
褲腳	kùjiǎo
褲腿	kùtuǐ
褲衩	kùchǎ
褲裙	kùqún
褲	kù
褲襠	kùdāng
褲門	kùmén
褳	lián
褵	lí
褶皺	zhězhòu
褶	zhě,dié,zhé,xí
褶鮡屬	zhězhàoshǔ
褸	lǚ
褻	xiè
褻瀆	xièdú
褻瀆	xièdú
褻衣	xièyī
襁褓	qiǎngbǎo
襁	qiǎng
襄王有意，神女無心	xiāngwáng yǒuyì, shénnǚ wúxīn
襄	xiāng
襄陽	Xiāngyáng
襇	jiǎn
襏	bó
襖	ǎo
襝	liǎn
襟兄	jīnxiōng
襟弟	jīndì
襟懷	jīnhuái
襟	jīn
襠	dāng
襣	bì
襤縷	lánlǚ
襤	lán
襤褸	lánlǚ
襤褸	lánlǚ
襦裙	rúqún
襦	rú
襪子	wàzi
襪帶	wàdài
襪	wà
襯字	chènzì
襯托	chèntuō
襯衣	chènyī
襯衫	chènshān
襯	chèn
襯裙	chènqún
襯褲	chènkù
襲取	xíqǔ
襲擊	xí擊
襲擊	xí擊
襲擾	xírǎo
襲破	xípò
襲胸	xíxiōng
襲	xí
襻	pàn
襾	yà,xià
西之表	Xīzhībiǎo
西乙	Xīyǐ
西予	Xīyǔ
西亞	Xī亞
西交大	Xījiāodà
西交	Xījiāo
西京	Xījīng
西人	xīrén
西伯利亞	Xībólì亞
西側	xīcè
西傾	xīqīng
西冷	xīlěng
西冷	Xīlěng
西化	xīhuà
西化	xīhuà
西北地區	Xīběi Dìqū
西北	xīběi
西北	xīběi
西北部	xīběibù
西北雨	xīběiyǔ
西北風	xīběifēng
西區	xīqū
西半球	xībànqiú
西南	xīnán
西南	xīnán
西印度群島	Xī Yìndù Qúndǎo
西周	Xīzhōu
西國	Xīguó
西地那非	xīdìnàfēi
西垂	Xīchuí
西城	Xīchéng
西域曆	Xīyùlì
西域	Xīyù
西堤	Xī堤
西塔爾琴	xītǎ'ěrqín
西夏	Xīxià
西夏語	Xīxiàyǔ
西多	xīduō
西天	xītiān
西奈半島	Xīnài Bàndǎo
西奈	Xīnài
西子	Xīzǐ
西學	xīxué
西安	Xī'ān
西宮	Xīgōng
西宮	Xīgōng
西寧	Xīníng
西尾	Xīwěi
西岸	xī'àn
西嶺	Xīlǐng
西嶽	Xīyuè
西川	Xīchuān
西州	Xīzhōu
西工大	Xīgōngdà
西布倫	Xībùlún
西布羅姆維奇	Xī-Bùluómǔwéiqí
西布羅米奇	Xī-Bùluómǐqí
西庇太	Xībìtài
西府	Xīfǔ
西康	Xīkāng
西式	xīshì
西弗吉尼亞	Xī-Fújíní亚
西弗	xīfú
西彎月	Xīwānyuè
西德	Xīdé
西戎	xīróng
西打	xīdǎ,xīdá
西撒哈拉	Xī Sāhālā
西敏制	Xīmǐnzhì
西敏寺	Xīmǐnsì
西敏	Xīmǐn
西文	xīwén
西斯鈴	xīsīlíng
西方人	xīfāngrén
西方化	xīfānghuà
西方化	xīfānghuà
西方古典音樂	xīfāng gǔdiǎn yīnyuè
西方	xīfāng
西方	xīfāng
西施犬	xīshīquǎn
西施	Xīshī
西施	Xīshī
西昌	Xīchāng
西晉	Xījìn
西曆	xīlì
西曬	xīshài
西服	xīfú
西東京	Xīdōngjīng
西柏坡	Xībǎipō
西柏林	Xī-Bólín
西柚	xīyòu
西條	Xītiáo
西樂	xīyuè
西歐	Xī-Ōu
西歸浦	Xīguīpǔ
西江	Xījiāng
西沙群島	Xīshā Qúndǎo
西沙	Xīshā
西洋參	xīyángshēn
西洋接骨木	xīyáng jiēgǔmù
西洋景	xīyángjǐng
西洋棋	xīyángqí
西洋菜	xīyángcài
西洋	Xīyáng
西洋象棋	xīyáng xiàngqí
西洋鏡	xīyángjìng
西洋風	xīyángfēng
西津渡	Xījīndù
西海	Xīhǎi
西涼	Xīliáng
西湖	Xīhú
西溪	Xīxī
西滿	Xīmǎn
西漢水	Xīhànshuǐ
西漢	Xīhàn
西潮	xīcháo
西澳大利亞	Xī-Àodàlì亚
西澳	Xī'Ào
西王母	Xīwángmǔ
西玎	xīdīng
西班牙人	Xībānyárén
西班牙凍湯	Xībānyá dòngtāng
西班牙文	Xībānyáwén
西班牙港	Xībānyágǎng
西班牙裔	Xībānyáyì
西班牙裔	Xībānyáyì
西班牙	Xībānyá
西班牙語	xībānyáyǔ
西瓜子	xīguāzǐ
西瓜	xīguā
西瓜頭	xīguātóu
西甲	Xījiǎ
西番蓮果	xīfānlián guǒ
西番蓮	xīfānlián
西番	Xīfān
西番雅書	Xīfānyǎshū
西番雅	Xīfānyǎ
西皮	xīpí
西秦	Xīqín
西米布丁	xīmǐ bùdīng
西米	xīmǐ
西米露	xīmǐlù
西紅柿炒雞蛋	xīhóngshì chǎojīdàn
西紅柿	xīhóngshì
西納干胡爾	xīnàgān hú'ěr
西經	xījīng
西維吉尼亞	Xī-Wéijíní亚
西維珍尼亞	Xī-Wéizhēnní亚
西線無戰事	xī xiàn wú zhànshì
西緬	Xīmiǎn
西羅馬帝國	Xī-Luómǎ Dìguó
西脇	Xīxié
西葫蘆	xīhúlu
西蒙	Xīméng
西藍花	xīlánhuā
西藏自治區	Xīzàng Zìzhìqū
西藏	Xīzàng
西藥	xīyào
西蘭花	xīlánhuā
西蘭	Xīlán
西裝	xīzhuāng
西裝革履	xīzhuāng gélǚ
西	xī
西西	xīxī
西西里島	Xīxīlǐ Dǎo
西西里	Xīxīlǐ
西語	Xīyǔ
西谷米	xīgǔmǐ
西貢	Xīgòng
西貢	Xīgòng
西農	Xīnóng
西進	xījìn
西遊記	Xīyóujì
西遼	Xīliáo
西邊	xībiān
西部	xībù
西都	xīdū
西都	xīdū
西鄂	Xī'è
西醫	xīyī
西里爾化	xīlǐ'ěrhuà
西里爾字母	Xīlǐ'ěr zìmǔ
西里爾	Xīlǐ'ěr
西里爾	Xīlǐ'ěr
西門子	xīménzǐ
西門	xīmén
西門	Xīmén
西門	xīmén
西雅圖	Xīyǎtú
西雙版納傣族自治州	Xīshuāngbǎnnà Dǎizú Zìzhìzhōu
西雙版納	Xīshuāngbǎnnà
西非	Xīfēi
西面	xīmiàn
西頭	xītóu
西風	xīfēng
西餐廳	xīcāntīng
西餐	xīcān
西魏	Xīwèi
西點	xīdiǎn
要不得	yàobùdé
要不是	yào不shì
要不然	yào不rán
要不	yào不
要人	yàorén
要件	yàojiàn
要價	yàojià
要價	yàojià
要命	yàomìng
要命	yàomìng
要命	yàomìng
要員	yàoyuán
要地	yàodì
要塞	yàosài
要好	yàohǎo
要害	yàohài
要強	yàoqiáng
要得	yàodé
要想富先修路	yāo xiǎng fù xiān xiū lù
要挾	yāo挾
要旨	yàozhǐ
要是	yàoshi
要求	yāoqiú
要求	yāoqiú
要犯	yàofàn
要約	yàoyuē
要約	yāoyuē
要素	yàosù
要緊	yàojǐn
要義	yàoyì
要聞	yàowén
要職	yàozhí
要臉	yàoliǎn
要	yāo
要	yào
要道	yàodào
要錢不要命	yào qián 不 yào mìng
要隘	yào'ài
要領	yàolǐng
要領	yāolǐng
要風度不要溫度	yào fēngdù 不yào wēndù
要風得風，要雨得雨	yào fēng dé fēng, yào yǔ dé yǔ
要飯的	yàofànde
要飯	yàofàn
要麼	yàome
要點	yàodiǎn
覂	fěng
覃	tán
覆姓	fùxìng
覆手	fùshǒu
覆手	fùshǒu
覆水難收	fùshuǐnánshōu
覆沒	fùmò
覆滅	fùmiè
覆盆子	fùpénzǐ
覆蓋	fùgài
覆蓋	fùgài
覆	fù
覆轍	fù辙
見上	jiànshàng
見下	jiànxià
見五姑娘	jiàn wǔ gūniang
見仁見智	jiànrénjiànzhì
見伍姑娘	jiàn Wǔ gūniang
見信如面	jiànxìnrúmiàn
見利忘義	jiàn lì wàng yì
見到	jiàndào
見原	jiànyuán
見在	xiànzài
見在	xiànzài
見在	xiànzài
見地	jiàndì
見外	jiànwài
見天日	jiàn tiānrì
見字如面	jiànzìrúmiàn
見得	jiàndé
見怪不怪	jiànguài不guài
見怪	jiànguài
見惠	jiànhuì
見愛	jiàn'ài
見效	jiànxiào
見效	jiànxiào
見機	jiànjī
見疑	jiànyí
見笑	jiànxiào
見習	jiànxí
見習醫生	jiànxí yīshēng
見聞	jiànwén
見背	jiànbèi
見	jiàn
見	xiàn
見解	jiànjiě
見說	jiànshuō
見諒	jiànliàng
見證人	jiànzhèngrén
見證	jiànzhèng
見證	jiànzhèng
見識	jiàn識
見識	jiàn識
見責	jiànzé
見錢眼開	jiànqiányǎnkāi
見長	jiàncháng
見長	jiànzhǎng
見附	Jiànfù
見面三分情	jiàn miàn sān fēn qíng
見面會	jiànmiànhuì
見面禮	jiànmiànlǐ
見面	jiànmiàn
見馬克思	jiàn Mǎkèsī
見駕	jiànjià
見鬼	jiànguǐ
見鬼	jiànguǐ
見鬼	jiànguǐ
覎	yàn
規例	guīlì
規則動詞	guīzé dòngcí
規則	guīzé
規則	guīzé
規劃	guīhuà
規劃	guīhuà
規勸	guīquàn
規培	guīpéi
規定	guīdìng
規定	guīdìng
規律	guīlǜ
規律	guīlǜ
規格	guīgé
規模經濟	guīmó jīngjì
規模	guīmó
規矩	guījǔ
規矩	guījǔ
規矩	guījǔ
規矩	guījǔ
規程	guīchéng
規章制度	guīzhāng zhìdù
規章	guīzhāng
規範化	guīfànhuà
規範化	guīfànhuà
規範	guīfàn
規範	guīfàn
規範	guīfàn
規約	guīyuē
規	guī
規誡	guījiè
規諫	guījiàn
規費	guīfèi
規避	guībì
規那	guīnà
覓	mì
覓食	mìshí
覕	miè
視事	shìshì
視交叉	shìjiāochā
視力	shìlì
視唱	shìchàng
視圖	shìtú
視察	shìchá
視差	shìchā
視為	shìwéi
視界	shìjiè
視盤	shìpán
視神經	shìshénjīng
視窗	shìchuāng
視網膜	shìwǎng膜
視線	shìxiàn
視而不見	shì'ér不jiàn
視聽	shìtīng
視聽	shìtīng
視覺空間	shìjué kōngjiān
視覺藝術	shìjué yìshù
視覺	shìjué
視覺	shìjué
視	shì
視角	shìjiǎo
視訊	shìxùn
視診	shìzhěn
視譯	shìyì
視譯	shìyì
視野	shìyě
視錯覺	shìcuòjué
視頻展示臺	shìpín zhǎnshìtái
視頻	shìpín
視頻	shìpín
視黃酸	shìhuángsuān
視黃醇	shìhuángchún
視黃醛	shìhuángquán
視點	shìdiǎn
覗	sì
覘	chān
覞	yào
覟	zhì
覡	xí
覥	tiǎn
覦	yú
親事	qīnshì
親交	qīnjiāo
親	qìng
親	qīn
親人	qīnrén
親信	qīnxìn
親信	qīnxìn
親兄弟	qīnxiōngdì
親冒矢石	qīn mào shǐshí
親切	qīnqiè
親厚	qīnhòu
親友	qīnyǒu
親口	qīnkǒu
親吻	qīnwěn
親和力	qīnhélì
親善	qīnshàn
親嘴	qīnzuǐ
親子	qīnzǐ
親子	qīnzǐ
親子	qīnzǐ
親家	qìngjia
親家公	qìngjiagōng
親家母	qìngjiamǔ
親密	qīnmì
親展	qīnzhǎn
親屬	qīnshǔ
親屬關係	qīnshǔ guānxi
親往	qīnwǎng
親征	qīnzhēng
親情	qīnqíng
親愛	qīn'ài
親愛的	qīn'ài de
親戚	qīnqī
親手	qīnshǒu
親族	qīnzú
親日	qīnrì
親日派	qīnrìpài
親暱	qīnnì
親朋好友	qīnpénghǎoyǒu
親核	qīnhé
親母	qīnmǔ
親民	qīnmín
親水性	qīnshuǐxìng
親熱	qīnrè
親熱	qīnrè
親父	qīnfù
親王	qīnwáng
親生	qīnshēng
親眷	qīnjuàn
親眼	qīnyǎn
親睦	qīnmù
親睦	qīnmù
親筆	qīnbǐ
親筆	qīnbǐ
親緣	qīnyuán
親者痛，仇者快	qīn zhě tòng, chóu zhě kuài
親耐的	qīnnàide
親脂性	qīnzhīxìng
親臨	qīnlín
親自	qīnzì
親舊	qīnjiù
親衛隊	qīnwèiduì
親親	qīnqīn
親親	qīnqīn
親親	qīnqīn
親赴	qīnfù
親身	qīnshēn
親身	qīnshēn
親身經歷	qīnshēn jīnglì
親近	qīnjìn
親近	qīnjìn
親隨	qīnsuí
親電	qīndiàn
親電子	qīndiànzǐ
覬覦	jìyú
覬	jì
覯	gòu
覲見	覲jiàn
覲	覲
覷視	qùshì
覷	qù
覺察	juéchá
覺得	juéde
覺悟	juéwù
覺悟	juéwù
覺書	juéshū
覺著	juézhe
覺	jiào
覺	jué
覺醒	juéxǐng
覽古	lǎngǔ
覽	lǎn
覾	shěn
覿	dí
觀世音	Guānshìyīn
觀光客	guānguāngkè
觀光旅行	guānguāng lǚxíng
觀光業	guānguāngyè
觀光	guānguāng
觀光	guānguāng
觀塘	Guāntáng
觀察力	guānchálì
觀察	guānchá
觀察	guānchá
觀念	guānniàn
觀摩	guānmó
觀景臺	guānjǐngtái
觀書	guānshū
觀望	guānwàng
觀止	guānzhǐ
觀測	guāncè
觀測	guāncè
觀照	guānzhào
觀看	guānkàn
觀眾	guānzhòng
觀瞻	guānzhān
觀瞻	guānzhān
觀禮	guānlǐ
觀自在菩薩	Guānzìzài púsà
觀覷	guānqù
觀	guān
觀	guàn
觀賞	guānshǎng
觀音寺	Guānyīnsì
觀音	Guānyīn
觀鯨	guānjīng
觀鯨	guānjīng
觀鳥	guānniǎo
觀鳥	guānniǎo
觀點	guāndiǎn
角分	jiǎofēn
角力	juélì
角子機	jiǎozijī
角子	jiǎozi
角宿一	Jiǎoxiù一,Juéxiù一
角宿	Jiǎoxiù,Juéxiù
角平分線	jiǎo píngfēnxiàn
角度	jiǎodù
角球	jiǎoqiú
角田	Jiǎotián
角礫岩	jiǎolìyán
角秒	jiǎomiǎo
角膜炎	jiǎo膜yán
角膜	jiǎo膜
角色扮演	juésè bànyǎn,jiǎosè bànyǎn
角色	juésè,jiǎosè
角落	jiǎoluò
角蜥	jiǎoxī
角	jiǎo,jué
角	lù
角質	jiǎo质
角逐	juézhú,jiǎozhú
角逐	juézhú,jiǎozhú
角速度	jiǎosùdù
角錐	jiǎozhuī
角錐體	jiǎozhuītǐ
角門	jiǎomén
角閃石	jiǎoshǎnshí
角馬	jiǎomǎ,juémǎ
角鬥士	jiǎodòu shì
角鬥	juédòu,jiǎodòu
角鯊烯	jiǎoshāxī
角鯨	jiǎojīng
角黍	jiǎoshǔ,juéshǔ
觗	fán,zhì
觚	gū
觛	dàn
觜宿	Zīxiù
觝	dǐ
觠	quán
觡	gé
解任	jiěrèn
解像度	jiěxiàngdù
解像	jiěxiàng
解僱	jiěgù
解凍	jiědòng
解剖刀	jiě剖dāo
解剖學	jiě剖xué
解剖	jiě剖
解剖	jiě剖
解和	jiěhé
解嘲	jiěcháo
解嚴	jiěyán
解困	jiěkùn
解圍	jiěwéi
解壓	jiěyā
解密	jiěmì
解州	Hàizhōu
解悶	jiěmèn
解惑	jiěhuò
解手	jiěshǒu
解放戰爭	Jiěfàng Zhànzhēng
解放	jiěfàng
解放	jiěfàng
解放軍	jiěfàngjūn
解放軍	jiěfàngjūn
解救	jiějiù
解散	jiěsàn
解散	jiěsàn
解數	jiěshù
解析度	jiěxīdù
解析	jiěxī
解析	jiěxī
解構	jiěgòu
解毒	jiědú
解氣	jiěqì
解氣	jiěqì
解決	jiějué
解渴	jiěkě
解溲	jiěsōu
解瀆亭侯	Jiědú Tínghóu
解瀆	Jiědú
解疑	jiěyí
解碼器	jiěmǎqì
解碼	jiěmǎ
解禁	jiějìn
解答	jiědá
解縱	jiězòng
解聘	jiěpìn
解職	jiězhí
解脫	jiětuō
解脫	jiětuō
解良	Xièliáng
解藥	jiěyào
解表藥	jiěbiǎoyào
解	jiè
解	jiě
解	xiè
解說	jiěshuō
解調器	jiětiáoqì
解調	jiětiáo
解譯	jiěyì
解讀	jiědú
解讀	jiědú
解釋	jiěshì
解釋	jiěshì
解鈴還須繫鈴人	jiě líng hái xū xì líng rén
解鎖	jiěsuǒ
解開	jiěkāi
解除	jiěchú
解離	jiělí
解難	jiěnán
解難	jiěnàn
解體	jiětǐ
觥	gōng
觩	qiú
觫	sù
觯	zhì
觰	zhā
觱栗	bìlì
觱篥	bìlì
觱	bì
觳觫	húsù
觳	hú
觴	shāng
觸動	chùdòng
觸及	chùjí
觸媒作用	chùméi zuòyòng
觸媒	chùméi
觸屏	chùpíng
觸怒	chùnù
觸感	chùgǎn
觸手	chùshǒu
觸控板	chùkòngbǎn
觸控筆	chùkòngbǐ
觸控螢幕	chùkòng yíngmù
觸控	chùkòng
觸摸屏	chùmōpíng
觸摸板	chùmōbǎn
觸摸	chùmō
觸景生情	chù jǐng shēng qíng
觸犯	chùfàn
觸發	chùfā
觸目	chùmù
觸目	chùmù
觸目驚心	chùmù jīngxīn
觸礁	chùjiāo
觸肢	chùzhī
觸覺	chùjué
觸角	chùjiǎo
觸	chù
觸診	chùzhěn
觸達	chùdá
觸電	chùdiàn
觻	lù
觿	xī
言不盡意	yán 不 jìn yì
言之成理	yánzhīchénglǐ
言傳	yánchuán
言和	yánhé
言外之意	yánwàizhīyì
言多必失	yánduōbìshī
言教	yánjiào
言明	yánmíng
言歸於好	yánguīyúhǎo
言歸正傳	yán guī zhèngzhuàn
言行一致	yánxíng 一zhì
言行	yánxíng,yánxìng
言	yán
